queries 
01/19/26 10:36:05 AM 
 last 1 week 
 10080 
Database: : C2L_DMS 
Number of queries: 100 
,Query Id,Query,Elapsed Time,Number of Sessions,Number of Executions,Average Response Time,Weight (%)
17,03000600A6451172BEBCC90014B3000001000000000000000000000000000000000000000000000000000000,CommissionRuleMapping,0h 35m 24s,5,17,0h 2m 4.94s,0
312,02000000B9262117AE84E2FA12F4A72B2106EB899D0DD1DA0000000000000000000000000000000000000000,"(@P1 datetime,@P2 datetime)select * from PAYOUT nolock
where systemupdateddt between @P1 and @P2",0h 34m 52s,29,312,0h 0m 6.71s,0
330,020000002799E21CBF6E02897434BACCD8F9CB636E0503B90000000000000000000000000000000000000000,"(@P1 datetime,@P2 datetime)select * from POLICYCOMMISSION nolock
where systemupdateddt between @P1 and @P2",0h 33m 36s,30,330,0h 0m 6.11s,0
13,020000004DA69916D4ED161A54CA3466E4B64C8B36A12F3E0000000000000000000000000000000000000000,"SELECT
SCHEMA_NAME(obj.schema_id) AS [Schema],
obj.name AS [Name],
obj.object_id AS [ID],
usrt.name AS [DataType],
ISNULL(baset.name, N?) AS [SystemType],
CAST(CASE WHEN baset.name IN (N?, N?) AND ret_param.max_length &lt;&gt; -? THEN ret_param.max_length/? ELSE ret_param.max_length END AS int) AS [Length],
CAST(ret_param.precision AS int) AS [NumericPrecision],
CAST(ret_param.scale AS int) AS [NumericScale],
ISNULL(xscret_param.name, N?) AS [XmlSchemaNamespace],
ISNULL(s2ret_param.name, N?) AS [XmlSchemaNamespaceSchema],
ISNULL( (case ret_param.is_xml_document when ? then ? else ? end), ?) AS [XmlDocumentConstraint],
s1ret_param.name AS [DataTypeSchema]
FROM
sys.objects AS obj
LEFT OUTER JOIN sys.all_parameters AS ret_param ON ret_param.object_id = obj.object_id and ret_param.is_output = ?
LEFT OUTER JOIN sys.types AS usrt ON usrt.user_type_id = ret_param.user_type_id
LEFT OUTER JOIN sys.types AS baset ON (baset.user_type_id = ret_param.system_type_id and baset.user_type_id = baset.system_type_id) or ((baset.system_type_id = ret_param.system_type_id) and (baset.user_type_id = ret_param.user_type_id) and (baset.is_user_defined = ?) and (baset.is_assembly_type = ?))
LEFT OUTER JOIN sys.xml_schema_collections AS xscret_param ON xscret_param.xml_collection_id = ret_param.xml_collection_id
LEFT OUTER JOIN sys.schemas AS s2ret_param ON s2ret_param.schema_id = xscret_param.schema_id
LEFT OUTER JOIN sys.schemas AS s1ret_param ON s1ret_param.schema_id = usrt.schema_id
WHERE
(obj.type=N?)
ORDER BY
[Schema] ASC,[Name] ASC",0h 33m 25s,5,13,0h 2m 34.23s,0
223,02000000857BA41AC55341F71815D44DBEBA97C64B3F213C0000000000000000000000000000000000000000,"(@P0 nvarchar(?),@P1 bigint,@P2 bigint,@P3 bigint,@P4 bigint,@P5 bigint,@P6 bigint,@P7 bigint,@P8 bigint,@P9 bigint,@P10 bigint,@P11 bigint,@P12 bigint,@P13 bigint,@P14 bigint,@P15 bigint,@P16 bigint,@P17 bigint,@P18 bigint,@P19 bigint,@P20 bigint,@P21 bigint,@P22 bigint,@P23 bigint,@P24 bigint,@P25 bigint,@P26 bigint,@P27 bigint,@P28 bigint,@P29 bigint,@P30 bigint,@P31 bigint,@P32 bigint,@P33 bigint,@P34 bigint,@P35 bigint,@P36 bigint,@P37 bigint,@P38 bigint,@P39 bigint,@P40 bigint,@P41 bigint,@P42 bigint,@P43 bigint,@P44 bigint,@P45 bigint,@P46 bigint,@P47 bigint,@P48 bigint,@P49 bigint,@P50 bigint,@P51 bigint,@P52 bigint,@P53 bigint,@P54 bigint,@P55 bigint,@P56 bigint,@P57 bigint,@P58 bigint,@P59 bigint,@P60 bigint,@P61 bigint,@P62 bigint,@P63 bigint,@P64 bigint,@P65 bigint,@P66 bigint,@P67 bigint,@P68 bigint,@P69 bigint,@P70 bigint,@P71 bigint,@P72 bigint,@P73 bigint,@P74 bigint,@P75 bigint,@P76 bigint,@P77 bigint,@P78 bigint,@P79 bigint,@P80 bigint,@P81 bigint,@P82 bigint,@P83 bigint,@P84 bigint,@P85 bigint,@P86 bigint,@P87 bigint,@P88 bigint,@P89 bigint,@P90 bigint,@P91 bigint,@P92 bigint,@P93 bigint,@P94 bigint,@P95 bigint,@P96 bigint,@P97 bigint,@P98 bigint,@P99 bigint,@P100 bigint)select DEFINITIONCD, DESIGNATIONCD, AGENTSTATUSCD, CLASSIFICATIONCD, RECRUITMENTCATEGORYCD, TIER, REPORTINGLINKCD, SOURCEDESIGNATIONCD, SOURCECHANNELCD, SOURCEAGENCYID,
BUSINESSSEQ, BUSINESSTYPECD, RESULTAGENTID, DORMANTSTATUSFL, AGENTHISTORYSEQ, VERSIONNUM, MANAGERDESIGNATIONCD, MANAGERAGENTSTATUSCD,
MANAGERCLASSIFICATIONCD, MANAGERDORMANTSTATUSFL, REPORTINGDERVICEPERIOD, TOTALSERVPRD, SERVPRDCURRDESIGNATION, HIERARCHYPERIOD, HIERARCHYSEQ, DIRECTLEADER, TOTALFYP, DIRECTAGENT, PERSISTENCY, PRODUCTGROUP,
MANAGERTOTALSERVPRD, PERSISTENCYS24, PaymentFL, LASTDESIGNATIONCD
from tempGROUPKPI where businessTypeCd = @P0 and businessSeq in ( @P1 , @P2 , @P3 , @P4 , @P5 , @P6 , @P7 , @P8 , @P9 , @P10 , @P11 , @P12 , @P13 , @P14 , @P15 , @P16 , @P17 , @P18 , @P19 , @P20 , @P21 , @P22 , @P23 , @P24 , @P25 , @P26 , @P27 , @P28 , @P29 , @P30 , @P31 , @P32 , @P33 , @P34 , @P35 , @P36 , @P37 , @P38 , @P39 , @P40 , @P41 , @P42 , @P43 , @P44 , @P45 , @P46 , @P47 , @P48 , @P49 , @P50 , @P51 , @P52 , @P53 , @P54 , @P55 , @P56 , @P57 , @P58 , @P59 , @P60 , @P61 , @P62 , @P63 , @P64 , @P65 , @P66 , @P67 , @P68 , @P69 , @P70 , @P71 , @P72 , @P73 , @P74 , @P75 , @P76 , @P77 , @P78 , @P79 , @P80 , @P81 , @P82 , @P83 , @P84 , @P85 , @P86 , @P87 , @P88 , @P89 , @P90 , @P91 , @P92 , @P93 , @P94 , @P95 , @P96 , @P97 , @P98 , @P99 , @P100 )",0h 31m 52s,31,223,0h 0m 8.57s,0
312,02000000393BC82E96349D5D14F67B8D000D5EFBFFCDEBD30000000000000000000000000000000000000000,"(@P1 datetime,@P2 datetime)select * from PAYOUTPAYABLELINK nolock
where systemupdateddt between @P1 and @P2",0h 30m 55s,29,312,0h 0m 5.95s,0
37,020000008FAAEB130EAA5730FF98C1A8D226004EE46164E60000000000000000000000000000000000000000,"(@_msparam_0 nvarchar(?))SELECT
SCHEMA_NAME(udf.schema_id) AS [Schema],
udf.name AS [Name],
udf.object_id AS [ID],
(case when ? = udf.type then ? when ? = udf.type then ? when ? = udf.type then ? when ? = udf.type then ? when ? = udf.type then ? else ? end) AS [FunctionType],
CASE WHEN udf.type IN (?,?,?) THEN ? WHEN udf.type IN (?,?) THEN ? ELSE ? END AS [ImplementationType],
CAST(
case
when udf.is_ms_shipped = ? then ?
when (
select
major_id
from
sys.extended_properties
where
major_id = udf.object_id and
minor_id = ? and
class = ? and
name = N?)
is not null then ?
else ?
end
AS bit) AS [IsSystemObject],
CAST(CASE WHEN ISNULL(smudf.definition, ssmudf.definition) IS NULL THEN ? ELSE ? END AS bit) AS [IsEncrypted],
CAST(ISNULL(OBJECTPROPERTYEX(udf.object_id, N?),?) AS bit) AS [IsSchemaBound],
usrt.name AS [DataType],
ISNULL(baset.name, N?) AS [SystemType],
CAST(CASE WHEN baset.name IN (N?, N?) AND ret_param.max_length &lt;&gt; -? THEN ret_param.max_length/? ELSE ret_param.max_length END AS int) AS [Length],
CAST(ret_param.precision AS int) AS [NumericPrecision],
CAST(ret_param.scale AS int) AS [NumericScale],
ISNULL(xscret_param.name, N?) AS [XmlSchemaNamespace],
ISNULL(s2ret_param.name, N?) AS [XmlSchemaNamespaceSchema],
ISNULL( (case ret_param.is_xml_document when ? then ? else ? end), ?) AS [XmlDocumentConstraint],
s1ret_param.name AS [DataTypeSchema]
FROM
sys.all_objects AS udf
LEFT OUTER JOIN sys.sql_modules AS smudf ON smudf.object_id = udf.object_id
LEFT OUTER JOIN sys.system_sql_modules AS ssmudf ON ssmudf.object_id = udf.object_id
LEFT OUTER JOIN sys.all_parameters AS ret_param ON ret_param.object_id = udf.object_id and ret_param.is_output = @_msparam_0
LEFT OUTER JOIN sys.types AS usrt ON usrt.user_type_id = ret_param.user_type_id
LEFT OUTER JOIN sys.types AS baset ON (baset.user_type_id = ret_param.system_type_id and baset.user_type_id = baset.system_type_id) or ((baset.system_type_id = ret_param.system_type_id) and (baset.user_type_id = ret_param.user_type_id) and (baset.is_user_defined = ?) and (baset.is_assembly_type = ?))
LEFT OUTER JOIN sys.xml_schema_collections AS xscret_param ON xscret_param.xml_collection_id = ret_param.xml_collection_id
LEFT OUTER JOIN sys.schemas AS s2ret_param ON s2ret_param.schema_id = xscret_param.schema_id
LEFT OUTER JOIN sys.schemas AS s1ret_param ON s1ret_param.schema_id = usrt.schema_id
WHERE
(udf.type in (?, ?, ?, ?, ?))
ORDER BY
[Schema] ASC,[Name] ASC",0h 29m 43s,17,37,0h 0m 48.19s,0
0,02000000BDF0D616207E99142C3BC7CC012548301F128E8E0000000000000000000000000000000000000000,select * from [dbo].[PREMIUM],0h 29m 9s,1,0,'-,0
0,0100010031BFA31E905F8822EF01000000000000000000000000000000000000000000000000000000000000,"(@database_name nvarchar(?),@vdi_device_name nvarchar(?))BACKUP DATABASE @database_name TO VIRTUAL_DEVICE = @vdi_device_name WITH STATS = ?, DIFFERENTIAL;",0h 28m 47s,4,0,'-,0
2,02000000F9602B09C78CF1B4FA9B6573F2D94B2657C09F280000000000000000000000000000000000000000,select * from [dbo].[POLICYPRODUCTALTER_D],0h 28m 37s,2,2,0h 14m 18.50s,0
313,02000000812B550AA7801BDB7F46CCF4986FC72C6899531C0000000000000000000000000000000000000000,select * from [dbo].[PAYOUTBANKFILE],0h 28m 22s,31,313,0h 0m 5.44s,0
0,02000000FD9158076FE9CE3B72D6516F4521C086B74A79BE0000000000000000000000000000000000000000,IF @@TRANCOUNT &gt; ? COMMIT TRAN,0h 26m 55s,61,0,'-,0
0,02000000EFAC5A20DB6CE317BB65C189B40121C3488C89110000000000000000000000000000000000000000,"SELECT ROW_NUMBER() OVER (ORDER BY
P.AGENTID, P.POLICYNUM, P.TRANSACTIONDATE ASC) NOMOR ,
CCOMMISIONGENERATEDATE
CTRANSACTIONDATE,
AGENTID,
AGENTNAME,
CYCLE,
NOPAYMENTFL,
DEFINITIONTYPECD,
PAYMENTTYPE,
DEFINITIONCD,
POLICYNUM,
POLICYCURRENCY,
RIDERCOUNT,
PREMIUMSUBTYPECD,
POLICYYEAR,
PRODUCTCD,
BANKNAME,
BANKBRANCH,
BANKACCOUNTNUMBER,
GROSSPAYABLE,
TRANSACTIONHOLDAMOUNT,
PAYOUTAMOUNT,
COMMISIONGENERATEDATE,
TRANSACTIONDATE,
COMMISSIONRATE,
TOTALPREMI,
EXCHANGERATE,
TOTALANNUALIZEDPREMIUM,
PAYMENTSCHEDULECD,
DESIGNATIONCD,
TYPE
FROM
(
SELECT
CONVERT(VARCHAR(?),COMMISIONGENERATEDATE,?) AS CCOMMISIONGENERATEDATE,
CONVERT(VARCHAR(?),TRANSACTIONDATE,?) AS CTRANSACTIONDATE,
* FROM FN_PVFAGENCY_PREVCYCLE_TN(?,?)
) P
where [PAYMENTTYPE] NOT IN (?,?,?,?) ",0h 25m 45s,4,0,'-,0
232594,0200000019DF901CA20C8CADE449C0CAB77D962EBE84EC5F0000000000000000000000000000000000000000,"(@P0 bigint,@P1 nvarchar(?),@P2 nvarchar(?),@P3 nvarchar(?),@P4 nvarchar(?),@P5 nvarchar(?),@P6 nvarchar(?),@P7 nvarchar(?),@P8 nvarchar(?),@P9 nvarchar(?),@P10 int,@P11 bigint,@P12 nvarchar(?),@P13 nvarchar(?),@P14 nvarchar(?),@P15 nvarchar(?),@P16 bigint,@P17 bigint,@P18 nvarchar(?),@P19 nvarchar(?),@P20 float,@P21 float,@P22 nvarchar(?),@P23 datetime,@P24 datetime,@P25 datetime,@P26 datetime,@P27 datetime,@P28 datetime,@P29 int,@P30 nvarchar(?),@P31 int,@P32 int,@P33 nvarchar(?),@P34 datetime,@P35 nvarchar(?),@P36 nvarchar(?),@P37 float,@P38 float,@P39 float,@P40 float,@P41 nvarchar(?),@P42 nvarchar(?),@P43 float,@P44 int,@P45 int,@P46 nvarchar(?),@P47 datetime,@P48 datetime,@P49 datetime,@P50 datetime,@P51 float,@P52 float,@P53 float,@P54 float,@P55 float,@P56 nvarchar(?),@P57 nvarchar(?),@P58 float,@P59 nvarchar(?),@P60 nvarchar(?),@P61 nvarchar(?),@P62 nvarchar(?),@P63 nvarchar(?),@P64 float,@P65 int,@P66 int,@P67 nvarchar(?),@P68 datetime,@P69 int,@P70 int,@P71 int,@P72 int,@P73 nvarchar(?),@P74 float,@P75 nvarchar(?),@P76 datetime,@P77 float,@P78 nvarchar(?),@P79 nvarchar(?),@P80 datetime,@P81 nvarchar(?),@P82 nvarchar(?),@P83 nvarchar(?),@P84 float,@P85 float,@P86 float,@P87 float,@P88 bigint,@P89 nvarchar(?),@P90 nvarchar(?),@P91 datetime,@P92 nvarchar(?),@P93 datetime,@P94 float,@P95 nvarchar(?),@P96 int,@P97 nvarchar(?),@P98 nvarchar(?),@P99 int,@P100 float,@P101 nvarchar(?),@P102 nvarchar(?),@P103 nvarchar(?),@P104 float,@P105 nvarchar(?),@P106 nvarchar(?),@P107 nvarchar(?),@P108 nvarchar(?),@P109 nvarchar(?),@P110 nvarchar(?),@P111 nvarchar(?),@P112 nvarchar(?),@P113 nvarchar(?),@P114 nvarchar(?),@P115 nvarchar(?),@P116 nvarchar(?),@P117 nvarchar(?),@P118 nvarchar(?),@P119 nvarchar(?),@P120 nvarchar(?),@P121 nvarchar(?),@P122 nvarchar(?),@P123 nvarchar(?),@P124 nvarchar(?),@P125 nvarchar(?),@P126 nvarchar(?),@P127 nvarchar(?),@P128 nvarchar(?),@P129 nvarchar(?),@P130 nvarchar(?),@P131 nvarchar(?),@P132 nvarchar(?),@P133 nvarchar(?),@P134 nvarchar(?),@P135 nvarchar(?),@P136 nvarchar(?),@P137 int,@P138 bigint,@P139 float,@P140 float,@P141 float,@P142 nvarchar(?),@P143 float,@P144 nvarchar(?),@P145 nvarchar(?),@P146 nvarchar(?),@P147 int,@P148 int,@P149 datetime,@P150 int,@P151 nvarchar(?),@P152 nvarchar(?),@P153 nvarchar(?),@P154 nvarchar(?),@P155 int,@P156 int,@P157 datetime,@P158 nvarchar(?),@P159 nvarchar(?),@P160 nvarchar(?),@P161 int,@P162 int,@P163 nvarchar(?),@P164 nvarchar(?),@P165 nvarchar(?),@P166 int)insert into CMSPOLICYINTERFACE (versionid, guid, TRANSACTIONTYPE, POLICYNUM, SOURCE, INSURANCETYPEFL, POLICYGUID, POLICYPRODUCTGUID, SUBTRANCHENO, PRODUCTCD, PRODUCTVER, PRODUCTSEQ, PRODUCTTYPECD, AGENTCD, HIERARCHYTYPECD, HIERARCHYGUID, AGENTHISTORYSEQ, SOURCEAGENTHISTORYSEQ, HIERARCHYSUBTYPECD, BASEAGENTFL, COMMISSIONSHARINGPERCENTAGE, PRODUCTIONSHARINGPERCENTAGE, ALTERATIONTYPECD, ALTERATIONEFFECTIVEDT, APPLICATIONDT, POLICYCOMMENCEMENTDT, POLICYISSUEDT, FREELOOKCANCELLATIONDT, LOGINDT, POLICYTERM, POLICYTERMUNITCD, NUMOFLIVES, RIDERCOUNT, POLICYSTATUSCD, POLICYSTATUSDT, SELFCONTRACTINDICATORFL, KEYMANPOLICYFL, TOTALPREMIUMAMOUNT, TOTALSUMASSURED, TOTALANNUALIZEDPREMIUM, TOTALEXTRAPREMIUMAMT, EMPLOYEEFL, PREMIUMTYPECD, DERIVEDENTRYAGE, MAXINITIALPERIODMONTHS, PREMIUMPAYINGTERM, PREMIUMPAYINGTERMUNITCD, PRODUCTCOMMENCEMENTDT, PRODUCTISSUEDT, CONTRIBUTIONSTARTDT, PRODUCTIONEFFECTIVEDT, ORIGINALANNUALIZEDPREMIUMAMT, ANNUALIZEDPREMIUMAMT, PREMIUMAMT, EXTRAPREMIUMAMT, SUMASSURED, PAYMENTFREQUENCYCD, PREMIUMRECEIVEDFL, MATURITYAGE, INTIMATIONSOURCE, MEDICALCASEFL, STRAIGHTTHRUFL, GROUPCD, SCHEMECD, FIRSTPREMIUMAMOUNT, CLAWBACKPERIOD, REFUNDPERIOD, PREMIUMGUID, PREMIUMDUEDT, POLICYYEARINFORCE, EDUCATIONBENEFITTERM, POLICYMONTHINFORCEFROM, POLICYMONTHINFORCETO, DUETYPECD, DUEAMT, APPROPRIATIONTYPECD, APPROPRIATIONDT, APPROPRIATIONAMT, REVERSALFL, REFERENCEGUID, CALCULATIONDT, COMMISSIONBASETYPECD, COMMISSIONSUBTYPECD, COMMISSIONENHANCETYPECD, COMMISSIONAMT, UNEARNEDCOMMAMT, EARNEDCOMMAMT, COMMISSIONRATE, PARTYSEQ, PARTYTYPECD, PRODUCTIONPROCESSEDFL, PRODUCTIONPROCESSEDDT, PAYMENTSPROCESSEDFL, PAYMENTSPROCESSEDDT, TOTALFIRSTPREMIUMAMT, POLICYPRODUCTSTATUSCD, BENEFITTERM, BENEFITTERMUNITCD, PRODUCTCATEGORY, PREMIUMCOUNT, TRANSFERSHARINGPERCENTAGE, TRANSACTIONREVERSALFLAG, POLICYBRANCHCD, PREMIUMSUBTYPECD, OLDANNUALIZEDPREMIUMAMT, PRODUCTCLASS1, PRODUCTCLASS2, PRODUCTCLASS3, COMMISSIONCALCULATIONFL, COMMISSIONRULECD, HIERARCHYSUBSUBTYPECD, AGENTBRANCHCD, AGENCYID, AGENTSTATUSCD, BLACKLISTFL, CHANNELCD, DESIGNATIONCD, INTERMEDCATCD , INTMDSUBCATCD, PARTFULLTMECD, RURALURBANFL, RECRUITCATECD, SOURCEAGENCYID, SOURCEAGENTSTATUSCD, SOURCEBLACKLISTFL, SOURCECHANNELCD, SOURCEDESIGNATIONCD, SOURCEINTERMEDCATCD, SOURCEINTMDSUBCATCD, SOURCEPARTFULLTMECD, SOURCERURALURBANFL, SOURCERECRUITCATECD, POLICYBRANCHCLASS, AGENTBRANCHCLASS, IRDAPRODUCTCLASS, SOURCETRANSACTIONCD, BASEPRODUCTCD, BASEPRODUCTVER, BASEPRODUCTSEQ, LOSSRATIO, SACRIFICEPERC, REFERENCEPERC, ENHANCEMENTTYPECD, COR, CLAWBACKCOMMISSIONPROCESSEDFL, PREMIUMSTATUS, LOTNO, SOURCEAGENTSERVICEPERIOD, ZMSOURCEAGENTSERVICEPERIOD, COMMISSIONCONTRACTEFFECTIVEDT, ORIGINALRIDERCOUNT, SUBTRANCHETYPE, MULTIPLIER1, MULTIPLIER2, MULTIPLIER3, AGENTSERVICEPERIOD, ZMAGENTSERVICEPERIOD, DESIGNATIONCHANGEDT, CAMPAIGNCODE, CURRENCYCD, PREMIUMCHANGETYPE, ORIGINALHSRIDERCOUNT, HSRIDERCOUNT, BASEKPICALCULATIONFL, DAILYPRODUCTIONPROCESSEDFL, HOLDPRODUCTIONPROCESSEDFL, PREMIUMPAYMENTPERIOD) values ( @P0 , @P1 , @P2 , @P3 , @P4 , @P5 , @P6 , @P7 , @P8 , @P9 , @P10 , @P11 , @P12 , @P13 , @P14 , @P15 , @P16 , @P17 , @P18 , @P19 , @P20 , @P21 , @P22 , @P23 , @P24 , @P25 , @P26 , @P27 , @P28 , @P29 , @P30 , @P31 , @P32 , @P33 , @P34 , @P35 , @P36 , @P37 , @P38 , @P39 , @P40 , @P41 , @P42 , @P43 , @P44 , @P45 , @P46 , @P47 , @P48 , @P49 , @P50 , @P51 , @P52 , @P53 , @P54 , @P55 , @P56 , @P57 , @P58 , @P59 , @P60 , @P61 , @P62 , @P63 , @P64 , @P65 , @P66 , @P67 , @P68 , @P69 , @P70 , @P71 , @P72 , @P73 , @P74 , @P75 , @P76 , @P77 , @P78 , @P79 , @P80 , @P81 , @P82 , @P83 , @P84 , @P85 , @P86 , @P87 , @P88 , @P89 , @P90 , @P91 , @P92 , @P93 , @P94 , @P95 , @P96 , @P97 , @P98 , @P99 , @P100 , @P101 , @P102 , @P103 , @P104 , @P105 , @P106 , @P107 , @P108 , @P109 , @P110 , @P111 , @P112 , @P113 , @P114 , @P115 , @P116 , @P117 , @P118 , @P119 , @P120 , @P121 , @P122 , @P123 , @P124 , @P125 , @P126 , @P127 , @P128 , @P129 , @P130 , @P131 , @P132 , @P133 , @P134 , @P135 , @P136 , @P137 , @P138 , @P139 , @P140 , @P141 , @P142 , @P143 , @P144 , @P145 , @P146 , @P147 , @P148 , @P149 , @P150 , @P151 , @P152 , @P153 , @P154 , @P155 , @P156 , @P157 , @P158 , @P159 , @P160 , @P161 , @P162 , @P163 , @P164 , @P165 , @P166 ) SELECT SCOPE_IDENTITY() AS ID",0h 24m 38s,51,232594,0h 0m 0.01s,0
2437,020000006DE9092FD1CDAAEAA016798CB7FC9E82A4D4400D0000000000000000000000000000000000000000,"(@_msparam_0 nvarchar(?),@_msparam_1 nvarchar(?),@_msparam_2 nvarchar(?))SELECT
clmns.name AS [Name],
clmns.column_id AS [ID],
clmns.is_nullable AS [Nullable],
clmns.is_computed AS [Computed],
CAST(ISNULL(cik.index_column_id, ?) AS bit) AS [InPrimaryKey],
clmns.is_ansi_padded AS [AnsiPaddingStatus],
CAST(clmns.is_rowguidcol AS bit) AS [RowGuidCol],
CAST(ISNULL(cc.is_persisted, ?) AS bit) AS [IsPersisted],
ISNULL(clmns.collation_name, N?) AS [Collation],
CAST(ISNULL((select TOP ? ? from sys.foreign_key_columns AS colfk where colfk.parent_column_id = clmns.column_id and colfk.parent_object_id = clmns.object_id), ?) AS bit) AS [IsForeignKey],
clmns.is_identity AS [Identity],
CAST(ISNULL(ic.seed_value,?) AS numeric(?)) AS [IdentitySeedAsDecimal],
CAST(ISNULL(ic.increment_value,?) AS numeric(?)) AS [IdentityIncrementAsDecimal],
(case when clmns.default_object_id = ? then N? when d.parent_object_id &gt; ? then N? else d.name end) AS [Default],
(case when clmns.default_object_id = ? then N? when d.parent_object_id &gt; ? then N? else schema_name(d.schema_id) end) AS [DefaultSchema],
ISNULL(dc.Name, N?) AS [DefaultConstraintName],
(case when clmns.rule_object_id = ? then N? else r.name end) AS [Rule],
(case when clmns.rule_object_id = ? then N? else schema_name(r.schema_id) end) AS [RuleSchema],
CAST(ISNULL(COLUMNPROPERTY(clmns.object_id, clmns.name, N?),?) AS bit) AS [IsDeterministic],
CAST(ISNULL(COLUMNPROPERTY(clmns.object_id, clmns.name, N?),?) AS bit) AS [IsPrecise],
ISNULL(ic.is_not_for_replication, ?) AS [NotForReplication],
CAST(COLUMNPROPERTY(clmns.object_id, clmns.name, N?) AS bit) AS [IsFullTextIndexed],
CAST(COLUMNPROPERTY(clmns.object_id, clmns.name, N?) AS int) AS [StatisticalSemantics],
CAST(clmns.encryption_type AS int) AS [EncryptionType],
clmns.encryption_algorithm_name AS [EncryptionAlgorithm],
clmns.column_encryption_key_id AS [ColumnEncryptionKeyID],
ceks.name AS [ColumnEncryptionKeyName],
CAST(clmns.is_filestream AS bit) AS [IsFileStream],
CAST(clmns.is_sparse AS bit) AS [IsSparse],
CAST(clmns.is_column_set AS bit) AS [IsColumnSet],
usrt.name AS [DataType],
s1clmns.name AS [DataTypeSchema],
ISNULL(baset.name, N?) AS [SystemType],
CAST(CASE WHEN baset.name IN (N?, N?) AND clmns.max_length &lt;&gt; -? THEN clmns.max_length/? ELSE clmns.max_length END AS int) AS [Length],
CAST(clmns.precision AS int) AS [NumericPrecision],
CAST(clmns.scale AS int) AS [NumericScale],
ISNULL(xscclmns.name, N?) AS [XmlSchemaNamespace],
ISNULL(s2clmns.name, N?) AS [XmlSchemaNamespaceSchema],
ISNULL( (case clmns.is_xml_document when ? then ? else ? end), ?) AS [XmlDocumentConstraint],
CASE WHEN usrt.is_table_type = ? THEN N? ELSE N? END AS [UserType],
clmns.generated_always_type AS [GeneratedAlwaysType],
CAST(clmns.is_hidden AS bit) AS [IsHidden],
CAST(? AS bit) AS [IsDroppedLedgerColumn],
CAST(clmns.is_masked AS bit) AS [IsMasked],
CAST(
CASE
WHEN [sc].[label] IS NOT NULL or [sc].[label_id] IS NOT NULL or [sc].[information_type] IS NOT NULL or [sc].[information_type_id] IS NOT NULL or [sc].[rank] IS NOT NULL THEN ?
ELSE ?
END
AS bit) AS [IsClassified],
ISNULL(clmns.graph_type, ?) AS [GraphType]
FROM
sys.tables AS tbl
INNER JOIN sys.all_columns AS clmns ON clmns.object_id=tbl.object_id
LEFT OUTER JOIN sys.indexes AS ik ON ik.object_id = clmns.object_id and ?=ik.is_primary_key
LEFT OUTER JOIN sys.index_columns AS cik ON cik.index_id = ik.index_id and cik.column_id = clmns.column_id and cik.object_id = clmns.object_id and ? = cik.is_included_column
LEFT OUTER JOIN sys.computed_columns AS cc ON cc.object_id = clmns.object_id and cc.column_id = clmns.column_id
LEFT OUTER JOIN sys.identity_columns AS ic ON ic.object_id = clmns.object_id and ic.column_id = clmns.column_id
LEFT OUTER JOIN sys.objects AS d ON d.object_id = clmns.default_object_id
LEFT OUTER JOIN sys.default_constraints as dc ON clmns.default_object_id = dc.object_id
LEFT OUTER JOIN sys.objects AS r ON r.object_id = clmns.rule_object_id
LEFT OUTER JOIN sys.column_encryption_keys AS ceks ON (ceks.column_encryption_key_id = clmns.column_encryption_key_id)
LEFT OUTER JOIN sys.types AS usrt ON usrt.user_type_id = clmns.user_type_id
LEFT OUTER JOIN sys.schemas AS s1clmns ON s1clmns.schema_id = usrt.schema_id
LEFT OUTER JOIN sys.types AS baset ON (baset.user_type_id = clmns.system_type_id and baset.user_type_id = baset.system_type_id) or ((baset.system_type_id = clmns.system_type_id) and (baset.user_type_id = clmns.user_type_id) and (baset.is_user_defined = ?) and (baset.is_assembly_type = ?))
LEFT OUTER JOIN sys.xml_schema_collections AS xscclmns ON xscclmns.xml_collection_id = clmns.xml_collection_id
LEFT OUTER JOIN sys.schemas AS s2clmns ON s2clmns.schema_id = xscclmns.schema_id
LEFT OUTER JOIN sys.sensitivity_classifications AS sc ON sc.major_id = clmns.object_id and sc.minor_id = clmns.column_id
WHERE
(clmns.name=@_msparam_0)and((tbl.name=@_msparam_1 and SCHEMA_NAME(tbl.schema_id)=@_msparam_2))",0h 23m 52s,23,2437,0h 0m 0.59s,0
309,0200000076CD9801DD71907B7C26B4F956D6147DEEAF40EE0000000000000000000000000000000000000000,"(@P1 datetime,@P2 datetime)select * from POLICY_M nolock
where systemupdateddt between @P1 and @P2",0h 23m 18s,30,309,0h 0m 4.52s,0
9,03000600235B57334558720145B2000001000000000000000000000000000000000000000000000000000000,AGENTCOMMISSIONWISEKPIDATAPROC,0h 23m 14s,8,9,0h 2m 34.89s,0
